Class,Cname,Subclass,Sname
A,정치,A,홍준표
A,정치,B,황교안
A,정치,C,오세훈
A,정치,D,유시민
A,정치,E,이낙연
A,정치,F,유승민
A,정치,G,이재명
A,정치,H,안희정
A,정치,I,임종석
A,정치,J,안철수
A,정치,K,조국
A,정치,L,김부겸
B,대북,A,철도
B,대북,B,조림
B,대북,C,개성공단
B,대북,D,비료/사료
B,대북,E,송전
B,대북,F,금강산
B,대북,G,자원
C,수소차,A,연료전지스택
C,수소차,B,수소공급장치
C,수소차,C,공기공급장치
C,수소차,D,열관리장치
C,수소차,E,수소저장장치
C,수소차,F,기타부품
C,수소차,G,수소충전소
C,수소차,H,수소가스
D,미세먼지,A,공기청정기
D,미세먼지,B,마스크
D,미세먼지,C,인공강우
